video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=O9VbDspQY-o&pp=ygUKbmV3IG1leGljbw%3D%3D,/@JoeandNicsRoadTrip,Joe & Nic's Road Trip,"NEW MEXICO: Full Of Decrepit Shacks & Old Churches - The Stark Beauty Of ""The Land Of Enchantment""",260K,2 years,"I visited the small city of Las Vegas, New Mexico. Then Nic & I together visited the New Mexico State capitol building, the San ...",2026-01-14 21:48:15.297492
/watch?v=B83ezRzljNQ&pp=ygUKbmV3IG1leGljbw%3D%3D,/@MileageMikeTravels,Mileage Mike Travels,Albuquerque - New Mexico - 4K Downtown Drive,30K,1 year,"Early afternoon drive around Albuquerque, NM. Filmed: October 2024 Follow on Instagram: https://instagram.com/mileagemike ...",2026-01-14 21:48:15.298284
/watch?v=ehmBXrgyPws&pp=ygUKbmV3IG1leGljbw%3D%3D,/@rocanews,RocaNews,Inside New Mexico's Poorest Region (Navajo Nation),570K,9 months,Try LMNT electrolytes: ...,2026-01-14 21:48:15.299758
/watch?v=6eqcf1KeUbM&pp=ygUKbmV3IG1leGljbw%3D%3D,/@USHistorians,US Historians,"20 Best Places to Visit in Albuquerque , Albuquerque New Mexico",79K,2 years,"20 Best Places to Visit in Albuquerque, New Mexico What happens if you make a turn to Albuquerque, New Mexico? Well, you ...",2026-01-14 21:48:15.300989
/watch?v=wxtEusDLDPI&pp=ygUKbmV3IG1leGljbw%3D%3D,/@CBSSundayMorning,CBS Sunday Morning,Serving up red and green chiles in New Mexico,106K,3 years,"In the ""Land of Enchantment,"" diners deck their plates with sauces made of red or green chiles – or both, if they're feeling the ...",2026-01-14 21:48:15.301985
/watch?v=Ln0QgtMVZ6g&pp=ygUKbmV3IG1leGljbw%3D%3D,/@SwiftyTravels,Swifty Travels,Taos New Mexico - 10 Things to Do,189K,4 years,"Swifty Travels spent a few days in Taos this past October. In this video, I highlight 10 things to do including giving an update on the ...",2026-01-14 21:48:15.303055
/watch?v=UPW-h8j-dJc&pp=ygUKbmV3IG1leGljbw%3D%3D,/@espncfb,ESPN College Football,Rate Bowl: New Mexico Lobos vs. Minnesota Golden Gophers | Full Game Highlights | ESPN CFB,181K,2 weeks,Check out these highlights as the Minnesota Golden Gophers finish out their season with a 20-17 overtime thriller win over the ...,2026-01-14 21:48:23.603805
/shorts/j6Usgl57QkE,/@NBCNews,NBC News,Pilots lift off for New Mexico balloon festival,13K,3 months,Over 500 balloons took to the skies for the Albuquerque International Balloon Fiesta one day after being grounded for high winds.,2026-01-14 21:48:23.604507
/watch?v=lC65DptPG8o&pp=ygUKbmV3IG1leGljbw%3D%3D,/@ACoupleofDrifters,A Couple of Drifters,10 New Mexico Facts You Should Know | Is New Mexico a State and Other Assorted Questions Answered,113K,4 years,An alarming amount of people in the United States wonder: Is New Mexico a state? The uncertainty surrounding the Land of ...,2026-01-14 21:48:23.605014
/watch?v=cnlHeB6ENRA&pp=ygUKbmV3IG1leGljbw%3D%3D,/@mountainwest,MountainWestConf,HIGHLIGHTS: New Mexico's 38-20 win over New Mexico State,7.2K,3 months,MWFB Highlights from New Mexico's 38-20 win over New Mexico State #MWFB | #GoLobos.,2026-01-14 21:48:23.605556
